species,longitude,latitude
Phrynobatrachus auritus,12.09,-4.36
Phrynobatrachus auritus,10.5,-3.17
Phrynobatrachus auritus,10.5,-3.17
Phrynobatrachus auritus,10.5,-3.17
Phrynobatrachus auritus,10.5,-3.17
Phrynobatrachus auritus,10.5,-3.17
Phrynobatrachus auritus,10.5,-3.17
Phrynobatrachus auritus,10.5,-3.17
Phrynobatrachus auritus,10.5,-3.17
Phrynobatrachus auritus,10.5,-3.17
Phrynobatrachus auritus,10.5,-3.17
Phrynobatrachus auritus,10.48,-3.15
Phrynobatrachus auritus,10.48,-3.15
Phrynobatrachus auritus,10.48,-3.15
Phrynobatrachus auritus,10.48,-3.15
Phrynobatrachus auritus,10.48,-3.15
Phrynobatrachus auritus,10.48,-3.15
Phrynobatrachus auritus,10.48,-3.15
Phrynobatrachus auritus,10.48,-3.15
Phrynobatrachus auritus,10.48,-3.15
Phrynobatrachus auritus,10.48,-3.15
Phrynobatrachus auritus,10.48,-3.15
Phrynobatrachus auritus,10.48,-3.15
Phrynobatrachus auritus,10.48,-3.15
Phrynobatrachus auritus,10.48,-3.14
Phrynobatrachus auritus,10.48,-3.14
Phrynobatrachus auritus,10.48,-3.14
Phrynobatrachus auritus,10.48,-3.14
Phrynobatrachus auritus,10.48,-3.14
Phrynobatrachus auritus,10.48,-3.14
Phrynobatrachus auritus,10.48,-3.14
Phrynobatrachus auritus,10.44,-3.09
Phrynobatrachus auritus,10.44,-3.09
Phrynobatrachus auritus,10.44,-3.09
Phrynobatrachus auritus,10.44,-3.09
Phrynobatrachus auritus,10.44,-3.09
Phrynobatrachus auritus,10.44,-3.09
Phrynobatrachus auritus,10.44,-3.09
Phrynobatrachus auritus,10.44,-3.09
Phrynobatrachus auritus,10.44,-3.09
Phrynobatrachus auritus,10.44,-3.09
Phrynobatrachus auritus,10.44,-3.09
Phrynobatrachus auritus,10.44,-3.09
Phrynobatrachus auritus,10.44,-3.09
Phrynobatrachus auritus,10.44,-3.09
Phrynobatrachus auritus,10.44,-3.09
Phrynobatrachus auritus,10.44,-3.09
Phrynobatrachus auritus,10.44,-3.09
Phrynobatrachus auritus,10.44,-3.09
Phrynobatrachus auritus,10.44,-3.09
Phrynobatrachus auritus,10.44,-3.09
Phrynobatrachus auritus,10.44,-3.09
Phrynobatrachus auritus,10.44,-3.09
Phrynobatrachus auritus,10.44,-3.09
Phrynobatrachus auritus,10.44,-3.09
Phrynobatrachus auritus,10.44,-3.08
Phrynobatrachus auritus,10.44,-3.08
Phrynobatrachus auritus,10.44,-3.08
Phrynobatrachus auritus,10.44,-3.08
Phrynobatrachus auritus,10.44,-3.08
Phrynobatrachus auritus,10.44,-3.08
Phrynobatrachus auritus,10.44,-3.08
Phrynobatrachus auritus,10.44,-3.08
Phrynobatrachus auritus,10.44,-3.08
Phrynobatrachus auritus,10.44,-3.08
Phrynobatrachus auritus,10.44,-3.08
Phrynobatrachus auritus,10.44,-3.08
Phrynobatrachus auritus,10.44,-3.08
Phrynobatrachus auritus,10.44,-3.08
Phrynobatrachus auritus,10.44,-3.08
Phrynobatrachus auritus,10.44,-3.08
Phrynobatrachus auritus,10.44,-3.08
Phrynobatrachus auritus,10.44,-3.08
Phrynobatrachus auritus,10.44,-3.08
Phrynobatrachus auritus,10.44,-3.08
Phrynobatrachus auritus,10.44,-3.08
Phrynobatrachus auritus,10.44,-3.08
Phrynobatrachus auritus,10.44,-3.08
Phrynobatrachus auritus,10.44,-3.08
Phrynobatrachus auritus,10.44,-3.08
Phrynobatrachus auritus,10.44,-3.08
Phrynobatrachus auritus,10.44,-3.08
Phrynobatrachus auritus,10.44,-3.08
Phrynobatrachus auritus,10.44,-3.08
Phrynobatrachus auritus,10.43,-3.08
Phrynobatrachus auritus,10.43,-3.08
Phrynobatrachus auritus,10.43,-3.08
Phrynobatrachus auritus,10.43,-3.08
Phrynobatrachus auritus,10.43,-3.08
Phrynobatrachus auritus,10.43,-3.08
Phrynobatrachus auritus,10.43,-3.08
Phrynobatrachus auritus,10.43,-3.08
Phrynobatrachus auritus,10.43,-3.08
