distance,weights,s1.xCoord,s1.yCoord,s2.xCoord,s2.yCoord,s1.bio01,s1.bio04,s1.bio12,s1.bio15,s1.bio19,s1.matrix_1,s1.matrix_2,s1.matrix_3,s1.matrix_4,s2.bio01,s2.bio04,s2.bio12,s2.bio15,s2.bio19,s2.matrix_1,s2.matrix_2,s2.matrix_3,s2.matrix_4
0.092998,1,9.2125,6.129166667,10.87083333,4.8375,26.20833397,93.85273743,2213,73.37406921,1001,0,0,0,0,23.88750076,105.6392899,1920,71.76729584,841,5.973629826,5.972504828,0.333851716,0.299330552
0.028145,1,9.2125,6.129166667,10.27083333,4.570833333,26.20833397,93.85273743,2213,73.37406921,1001,0,0,0,0,26.35416603,92.55118561,2500,71.17742157,1174,6.203620622,6.197423057,0.350135118,0.363726487
0.2547,1,9.2125,6.129166667,10.2125,2.4875,26.20833397,93.85273743,2213,73.37406921,1001,0,0,0,0,24.82083321,86.77186584,2326,60.54434967,571,11.38884237,11.3587075,0.362410435,0.340942497
0.29791,1,9.2125,6.129166667,12.9375,1.2125,26.20833397,93.85273743,2213,73.37406921,1001,0,0,0,0,23.98333359,86.74236298,1611,58.91916656,163,8.842807452,8.827657502,0.34544867,0.325892948
0.26669,1,9.2125,6.129166667,10.6875,1.054166667,26.20833397,93.85273743,2213,73.37406921,1001,0,0,0,0,22.47916603,89.65738678,2210,60.63789368,108,11.08167888,11.07871742,0.213476758,0.180150015
0.32093,1,9.2125,6.129166667,11.90416667,-0.579166667,26.20833397,93.85273743,2213,73.37406921,1001,0,0,0,0,25.10416603,99.94220734,1738,69.71258545,33,11.06757599,11.05656654,0.333474562,0.317606193
0.29872,1,9.2125,6.129166667,13.90416667,-1.929166667,26.20833397,93.85273743,2213,73.37406921,1001,0,0,0,0,24.24166679,79.22446442,1905,58.84806824,63,12.4336567,12.42898611,0.340809087,0.310185273
0.42052,1,9.2125,6.129166667,10.4875,-3.104166667,26.20833397,93.85273743,2213,73.37406921,1001,0,0,0,0,25.50416756,150.8078003,1549,78.54234314,9,7.158941009,7.157337037,0.429527256,0.387019526
0,1,10.87083333,4.8375,10.27083333,4.570833333,23.88750076,105.6392899,1920,71.76729584,841,0,0,0,0,26.35416603,92.55118561,2500,71.17742157,1174,7.272218762,7.263844888,0.513499471,0.512276297
0.27095,1,10.87083333,4.8375,10.2125,2.4875,23.88750076,105.6392899,1920,71.76729584,841,0,0,0,0,24.82083321,86.77186584,2326,60.54434967,571,12.19566303,12.16458623,0.513742004,0.478485217
0.30201,1,10.87083333,4.8375,12.9375,1.2125,23.88750076,105.6392899,1920,71.76729584,841,0,0,0,0,23.98333359,86.74236298,1611,58.91916656,163,9.799942717,9.782438807,0.510084928,0.475357911
0.27977,1,10.87083333,4.8375,10.6875,1.054166667,23.88750076,105.6392899,1920,71.76729584,841,0,0,0,0,22.47916603,89.65738678,2210,60.63789368,108,12.27632512,12.27133493,0.41075967,0.359511243
