Sample_ID,Site,LAT,LONG
sample_CM1,Campo Ma'an,2.4,10.22
sample_CM11,Campo Ma'an,2.41,10.21
sample_CM12,Campo Ma'an,2.51,10.21
sample_CM13,Campo Ma'an,2.51,10.21
sample_CM16,Campo Ma'an,2.51,10.21
sample_CM20,Campo Ma'an,2.51,10.21
sample_CM22,Campo Ma'an,2.51,10.21
sample_CM26,Campo Ma'an,2.51,10.21
sample_CM28,Campo Ma'an,2.51,10.21
sample_CM3,Campo Ma'an,2.4,10.23
sample_CM5,Campo Ma'an,2.38,10.24
sample_CM6,Campo Ma'an,2.51,10.21
sample_CM7,Campo Ma'an,2.51,10.21
sample_EF1,Ebo Forest,4.6,10.25
sample_EF10,Ebo Forest,4.57,10.25
sample_EF11,Ebo Forest,4.57,10.25
sample_EF12,Ebo Forest,4.57,10.25
sample_EF13,Ebo Forest,4.57,10.25
sample_EF14,Ebo Forest,4.57,10.25
sample_EF15,Ebo Forest,4.56,10.25
sample_EF16,Ebo Forest,4.56,10.24
sample_EF17,Ebo Forest,4.57,10.24
sample_EF18,Ebo Forest,4.56,10.25
sample_EF19,Ebo Forest,4.57,10.25
sample_EF2,Ebo Forest,4.58,10.48
sample_EF20,Ebo Forest,4.57,10.24
sample_EF21,Ebo Forest,4.58,10.25
sample_EF23,Ebo Forest,4.57,10.24
sample_EF24,Ebo Forest,4.57,10.24
sample_EF25,Ebo Forest,4.57,10.24
sample_EF3,Ebo Forest,4.6,10.25
sample_EF6,Ebo Forest,4.56,10.49
sample_EF7,Ebo Forest,4.56,10.24
sample_EF8,Ebo Forest,4.57,10.24
sample_EF9,Ebo Forest,4.57,10.24
sample_GC1,Gamba,-3.09,10.5
sample_GC10,Gamba,-3.09,10.48
sample_GC11,Gamba,-3.09,10.47
sample_GC12,Gamba,-3.09,10.47
sample_GC13,Gamba,-3.09,10.47
sample_GC14,Gamba,-3.09,10.5
sample_GC15,Gamba,-3.09,10.5
sample_GC16,Gamba,-3.09,10.48
sample_GC18,Gamba,-3.09,10.47
sample_GC19,Gamba,-3.09,10.5
sample_GC2,Gamba,-3.09,10.5
sample_GC20,Gamba,-3.09,10.5
sample_GC21,Gamba,-3.09,10.5
sample_GC22,Gamba,-3.09,10.47
sample_GC23,Gamba,-3.1,10.48
sample_GC25,Gamba,-3.09,10.48
sample_GC4,Gamba,-3.09,10.5
